Date,Close/Last,Volume,Open,High,Low
05/23/2025,$109.72,8086103,$109.60,$110.345,$108.78
05/22/2025,$111.13,7903694,$109.975,$111.7965,$109.975
05/21/2025,$110.46,10150620,$111.692,$112.485,$110.13
05/20/2025,$112.36,6433281,$112.44,$113.40,$111.81
05/19/2025,$112.66,7209681,$112.12,$112.99,$111.90
05/16/2025,$113.42,10961000,$111.915,$113.44,$111.42
05/15/2025,$112.22,8322383,$112.23,$112.85,$111.58
05/14/2025,$112.94,15352210,$111.38,$113.41,$110.83
05/13/2025,$111.38,14076720,$110.245,$112.20,$110.15
05/12/2025,$110.49,18366640,$109.87,$110.935,$108.66
05/09/2025,$105.94,10438190,$105.255,$106.19,$104.76
05/08/2025,$105.12,19265440,$103.97,$106.19,$103.855
05/07/2025,$102.09,36174940,$102.42,$103.3099,$100.1411
05/06/2025,$92.17,11839410,$91.20,$92.74,$91.00
05/05/2025,$92.11,10231010,$89.70,$93.075,$89.61
05/02/2025,$92.49,7594041,$91.84,$93.185,$91.84
05/01/2025,$90.81,7790638,$91.265,$91.61,$90.36
04/30/2025,$90.95,8474834,$89.89,$91.19,$88.56
04/29/2025,$91.17,6359924,$89.83,$91.655,$89.76
04/28/2025,$90.16,8491785,$90.45,$91.365,$89.64
04/25/2025,$90.28,7749630,$90.07,$90.34,$89.07
04/24/2025,$90.01,10309950,$87.45,$90.24,$86.77
04/23/2025,$87.29,12089120,$89.025,$89.87,$87.03
04/22/2025,$86.09,9578470,$85.01,$86.56,$84.60
04/21/2025,$84.00,14166830,$84.91,$85.23,$82.98
04/17/2025,$84.81,14810890,$83.37,$85.78,$83.36
04/16/2025,$82.77,10144290,$84.28,$84.80,$82.0072
04/15/2025,$85.01,7840454,$84.75,$85.98,$84.52
04/14/2025,$84.66,10841310,$85.83,$86.45,$84.03
04/11/2025,$84.89,10204360,$85.11,$85.6659,$83.35
04/10/2025,$85.23,16376960,$88.92,$89.01,$83.07
04/09/2025,$91.44,24970930,$81.29,$92.25,$81.19
04/08/2025,$81.72,14845640,$85.95,$86.95,$80.85
04/07/2025,$83.30,20455990,$80.99,$86.63,$80.10
04/04/2025,$83.53,22580890,$86.00,$87.54,$83.08
04/03/2025,$88.84,19353390,$94.51,$94.78,$88.605
04/02/2025,$97.88,7959946,$96.615,$98.308,$96.45
04/01/2025,$97.68,8762675,$98.32,$98.59,$96.84
03/31/2025,$98.70,10554040,$96.83,$98.85,$95.70
03/28/2025,$98.07,7679702,$100.05,$100.39,$97.74
03/27/2025,$100.45,6598776,$100.71,$101.03,$99.58
03/26/2025,$100.78,6316413,$101.70,$102.27,$100.26
03/25/2025,$101.61,7365249,$100.65,$101.76,$100.405
03/24/2025,$100.18,8224405,$100.22,$100.44,$98.86
03/21/2025,$99.46,15089870,$98.38,$99.89,$97.75
03/20/2025,$98.86,7836515,$99.57,$100.05,$98.64
03/19/2025,$100.29,8614622,$99.655,$100.96,$99.47
03/18/2025,$99.35,6727404,$99.27,$99.725,$98.475
03/17/2025,$99.36,8332119,$98.74,$100.12,$98.66
03/14/2025,$98.64,10199760,$97.44,$99.0985,$97.415
03/13/2025,$96.87,11059480,$97.77,$98.65,$95.925
03/12/2025,$98.76,11891790,$98.68,$99.49,$96.38
03/11/2025,$97.90,16906010,$99.79,$101.04,$97.45
03/10/2025,$103.08,10947070,$104.43,$104.80,$102.1104
03/07/2025,$105.51,12715900,$105.00,$105.77,$103.31
03/06/2025,$105.43,11618750,$108.38,$108.83,$105.0165
03/05/2025,$109.31,9956143,$109.34,$110.9383,$108.22
03/04/2025,$109.01,12658020,$111.70,$112.25,$108.27
03/03/2025,$112.79,7884746,$114.07,$115.55,$112.00
02/28/2025,$113.80,14609400,$111.46,$113.99,$111.00
02/27/2025,$111.31,7854650,$112.32,$113.12,$111.06
02/26/2025,$111.83,7831584,$110.055,$113.25,$110.055
02/25/2025,$110.53,7288975,$111.43,$111.90,$109.07
02/24/2025,$111.20,7093298,$108.84,$111.555,$108.65
02/21/2025,$108.66,9082075,$111.00,$111.76,$107.92
02/20/2025,$110.55,5970106,$111.24,$111.52,$109.375
02/19/2025,$111.35,8452114,$109.14,$111.76,$109.14
02/18/2025,$109.56,8362898,$109.775,$109.92,$108.71
02/14/2025,$110.38,5964541,$109.86,$110.51,$109.5901
02/13/2025,$109.59,6553224,$108.92,$109.76,$108.56
02/12/2025,$109.23,6521246,$108.25,$109.525,$107.75
02/11/2025,$109.02,7456717,$108.38,$109.05,$107.69
02/10/2025,$109.28,8239512,$111.14,$111.38,$108.69
02/07/2025,$110.86,8669320,$111.61,$112.55,$110.8101
02/06/2025,$112.09,12470790,$111.88,$112.68,$109.15
02/05/2025,$110.54,23309980,$115.70,$118.59,$110.23
02/04/2025,$113.30,13521150,$113.80,$114.655,$112.51
02/03/2025,$114.00,8870666,$111.35,$114.60,$110.86
01/31/2025,$113.06,7797690,$113.30,$114.01,$112.76
01/30/2025,$113.43,6236187,$114.085,$115.18,$113.12
01/29/2025,$113.19,7607068,$113.495,$114.3844,$112.76
01/28/2025,$112.14,6516763,$112.845,$112.96,$111.56
01/27/2025,$113.34,10176940,$111.68,$114.08,$111.46
01/24/2025,$112.16,8304478,$111.155,$113.39,$110.63
01/23/2025,$111.04,7608265,$108.50,$111.07,$108.49
01/22/2025,$108.81,8781705,$109.55,$109.55,$108.23
01/21/2025,$108.70,8643694,$107.10,$109.45,$106.80
01/17/2025,$107.02,7144263,$106.83,$107.74,$106.54
01/16/2025,$106.46,7872767,$108.29,$108.60,$106.16
01/15/2025,$108.18,6296861,$109.17,$109.60,$107.99
01/14/2025,$108.12,5501600,$108.68,$108.96,$107.61
01/13/2025,$108.08,6690232,$107.93,$108.61,$106.72
01/10/2025,$108.65,8835518,$110.00,$110.54,$107.62
01/08/2025,$109.76,7805312,$111.00,$111.11,$108.64
01/07/2025,$111.39,7878807,$112.15,$113.74,$111.29
01/06/2025,$111.05,6274419,$111.47,$112.8537,$110.87
01/03/2025,$111.16,5394318,$111.37,$111.535,$110.18
01/02/2025,$110.82,5688086,$111.70,$112.20,$110.17
12/31/2024,$111.35,4757538,$110.78,$111.59,$110.67
12/30/2024,$110.80,5716337,$110.425,$111.54,$109.83
12/27/2024,$111.55,4523820,$111.82,$112.12,$110.86
12/26/2024,$112.55,4782814,$112.12,$113.32,$111.86
12/24/2024,$112.56,2474994,$111.25,$112.74,$111.1924
12/23/2024,$111.40,6037212,$111.61,$111.85,$110.31
12/20/2024,$112.03,17955330,$110.61,$112.97,$110.43
12/19/2024,$111.37,9468516,$111.66,$112.91,$111.25
12/18/2024,$111.35,12292780,$113.34,$116.1184,$111.24
12/17/2024,$113.02,12238620,$111.025,$114.04,$110.80
12/16/2024,$112.11,10528530,$113.00,$113.067,$111.73
12/13/2024,$113.34,6864475,$114.322,$114.96,$113.30
12/12/2024,$114.90,5285116,$114.70,$115.01,$114.16
12/11/2024,$114.61,6426831,$114.635,$115.05,$113.98
12/10/2024,$114.73,7526428,$114.65,$114.95,$113.72
12/09/2024,$114.61,8666121,$116.385,$117.18,$113.91
12/06/2024,$116.73,6677906,$116.55,$117.26,$116.22
12/05/2024,$116.50,9823556,$116.55,$117.27,$116.06
12/04/2024,$116.99,7996244,$115.97,$117.29,$115.84
12/03/2024,$116.45,9193973,$117.00,$117.23,$115.45
12/02/2024,$117.16,8390465,$117.78,$118.63,$116.55
11/29/2024,$117.47,5095150,$117.255,$117.74,$116.73
11/27/2024,$117.60,8142388,$115.445,$118.1998,$115.445
11/26/2024,$115.45,6808149,$116.00,$116.42,$115.44
11/25/2024,$116.00,10397810,$115.68,$116.5798,$114.932
11/22/2024,$115.65,10098040,$113.85,$116.34,$113.60
11/21/2024,$114.72,10260980,$114.15,$116.25,$113.8343
11/20/2024,$114.26,9319270,$112.26,$114.37,$111.47
11/19/2024,$112.42,12166780,$112.05,$112.50,$110.82
11/18/2024,$113.54,14236560,$113.33,$115.435,$112.89
11/15/2024,$115.08,32048030,$110.25,$115.19,$110.25
11/14/2024,$109.12,47436050,$110.33,$114.81,$108.40
11/13/2024,$102.72,17701280,$100.785,$103.20,$100.35
11/12/2024,$100.99,9366216,$100.55,$101.29,$99.50
11/11/2024,$100.86,9137854,$99.00,$100.90,$99.00
11/08/2024,$99.02,7982113,$98.73,$99.26,$97.61
11/07/2024,$98.93,7805138,$98.78,$99.52,$98.13
11/06/2024,$98.89,11325090,$98.21,$99.55,$98.21
11/05/2024,$96.63,6561725,$95.60,$96.67,$95.25
11/04/2024,$95.79,6088036,$95.825,$96.0188,$95.03
11/01/2024,$95.81,7944869,$95.70,$96.39,$94.83
10/31/2024,$96.20,8147709,$95.27,$96.63,$95.00
10/30/2024,$95.08,7718201,$95.70,$96.71,$94.94
10/29/2024,$96.13,6834439,$96.26,$96.62,$95.675
10/28/2024,$96.20,8146379,$95.22,$96.685,$95.21
10/25/2024,$95.03,6638148,$95.81,$96.8536,$95.01
10/24/2024,$95.40,5015263,$96.60,$96.80,$95.2515
10/23/2024,$96.24,5388501,$96.93,$97.1378,$95.985
10/22/2024,$96.74,5344307,$96.20,$97.255,$96.20
10/21/2024,$96.62,8189949,$97.20,$97.45,$95.95
10/18/2024,$97.28,8609692,$97.01,$97.54,$96.05
10/17/2024,$96.54,9542501,$96.93,$97.33,$95.61
10/16/2024,$96.75,9936286,$93.73,$96.79,$93.63
10/15/2024,$94.22,6535756,$95.25,$95.65,$93.68
10/14/2024,$94.97,6261964,$94.18,$95.19,$93.80
10/11/2024,$94.13,8089133,$92.85,$94.61,$92.80
10/10/2024,$92.99,6698039,$93.72,$93.88,$92.69
10/09/2024,$93.60,8654470,$91.86,$94.01,$91.46
10/08/2024,$92.51,10209060,$92.515,$93.74,$91.69
10/07/2024,$92.39,11043610,$95.09,$95.14,$91.76
10/04/2024,$95.15,6317333,$94.30,$95.34,$93.89
10/03/2024,$93.63,6180349,$93.61,$94.09,$93.1306
10/02/2024,$94.15,6144176,$93.59,$94.58,$93.59
10/01/2024,$94.05,10099230,$95.19,$95.85,$93.3201
09/30/2024,$96.19,7988690,$96.85,$97.57,$95.44
09/27/2024,$96.01,10155420,$95.485,$96.90,$95.28
09/26/2024,$95.20,10061550,$94.46,$95.785,$94.175
09/25/2024,$93.92,8408242,$93.64,$94.44,$93.352
09/24/2024,$93.69,7860272,$93.34,$93.79,$92.46
09/23/2024,$92.97,7338661,$93.695,$93.70,$92.16
09/20/2024,$93.75,19251540,$93.20,$94.01,$92.82
09/19/2024,$93.45,10912450,$94.82,$95.29,$93.32
09/18/2024,$93.58,10289770,$93.52,$94.07,$92.69
09/17/2024,$92.86,8193075,$92.37,$93.25,$92.17
09/16/2024,$91.85,9028572,$91.10,$92.37,$90.95
09/13/2024,$90.55,7084239,$89.45,$90.72,$89.39
09/12/2024,$89.30,7181709,$88.22,$89.3289,$88.18
09/11/2024,$88.32,10779000,$88.05,$88.43,$86.59
09/10/2024,$88.40,6858313,$88.33,$88.89,$87.98
09/09/2024,$88.34,8750247,$88.22,$88.885,$87.81
09/06/2024,$87.94,7791503,$88.45,$89.09,$87.72
09/05/2024,$88.65,6234114,$89.665,$89.665,$88.34
09/04/2024,$89.25,6317221,$88.95,$90.0201,$88.82
09/03/2024,$89.13,8465469,$89.605,$90.4877,$88.535
08/30/2024,$90.38,8403632,$89.98,$90.45,$89.4001
08/29/2024,$89.81,6181750,$90.45,$90.70,$89.63
08/28/2024,$89.49,8569690,$90.33,$90.6247,$88.76
08/27/2024,$90.90,7237353,$91.43,$91.72,$90.75
08/26/2024,$91.78,8043757,$90.92,$91.80,$90.92
08/23/2024,$90.56,7369239,$90.15,$90.75,$89.68
08/22/2024,$89.92,7613030,$90.99,$91.3757,$89.695
08/21/2024,$90.72,7637566,$90.22,$90.78,$89.43
08/20/2024,$89.74,8863436,$90.39,$90.67,$89.31
08/19/2024,$90.82,9723589,$89.41,$90.95,$89.41
08/16/2024,$89.30,10277740,$88.96,$89.67,$88.34
08/15/2024,$88.79,12400990,$87.25,$88.925,$87.21
08/14/2024,$86.30,9475119,$86.01,$86.54,$85.56
08/13/2024,$85.60,14615210,$86.46,$86.46,$85.31
08/12/2024,$85.95,11754600,$85.86,$86.38,$85.48
08/09/2024,$86.21,16008400,$86.13,$86.25,$84.71
08/08/2024,$85.96,21890470,$85.15,$86.33,$83.91
08/07/2024,$85.96,30581930,$88.00,$89.2447,$85.75
08/06/2024,$89.97,21717510,$88.23,$91.91,$87.96
08/05/2024,$87.78,19103160,$86.89,$89.56,$86.42
08/02/2024,$89.57,15433550,$92.16,$92.20,$89.00
08/01/2024,$93.05,9263596,$93.86,$93.95,$92.60
07/31/2024,$93.69,10241830,$93.785,$94.835,$93.64
07/30/2024,$93.79,9896054,$91.67,$94.04,$91.67
07/29/2024,$92.14,13024850,$90.39,$92.55,$90.19
07/26/2024,$89.93,11301860,$90.00,$90.55,$89.335
07/25/2024,$89.21,10765290,$90.08,$90.50,$89.21
07/24/2024,$89.80,11768550,$90.22,$90.75,$89.575
07/23/2024,$90.94,22534730,$90.70,$91.69,$89.83
07/22/2024,$94.13,13377040,$95.11,$95.155,$93.49
07/19/2024,$95.74,9300963,$96.82,$96.82,$95.44
07/18/2024,$96.79,7529378,$97.36,$98.06,$96.675
07/17/2024,$97.31,9456087,$98.30,$98.61,$96.53
07/16/2024,$98.47,10755510,$97.02,$98.72,$96.54
07/15/2024,$96.87,7417699,$97.33,$97.49,$96.60
07/12/2024,$97.13,6465736,$97.095,$97.83,$96.98
07/11/2024,$96.60,7432590,$97.01,$97.58,$96.30
07/10/2024,$96.97,7761123,$96.95,$97.2799,$96.25
07/09/2024,$97.05,9048576,$97.47,$97.53,$96.15
07/08/2024,$97.37,8167589,$97.69,$98.29,$96.89
07/05/2024,$97.99,8550759,$98.305,$98.305,$97.584
07/03/2024,$98.61,5029969,$97.84,$99.08,$97.83
07/02/2024,$97.99,13340320,$97.935,$97.99,$96.95
07/01/2024,$98.04,15298970,$99.40,$99.74,$97.88
06/28/2024,$99.29,21439420,$102.02,$102.58,$98.38
06/27/2024,$102.17,8365165,$102.04,$102.28,$101.81
06/26/2024,$102.18,10122310,$101.90,$102.37,$101.43
06/25/2024,$102.20,10343710,$102.66,$103.677,$101.77
06/24/2024,$101.98,7393608,$102.25,$103.08,$101.91
06/21/2024,$102.27,14144920,$101.795,$102.54,$101.585
06/20/2024,$101.84,7886934,$100.57,$101.935,$100.38
06/18/2024,$101.50,7044674,$101.12,$101.76,$100.61
06/17/2024,$101.52,10388990,$100.98,$101.92,$100.62
06/14/2024,$99.97,7087573,$99.81,$100.38,$99.25
06/13/2024,$100.09,10164570,$100.61,$101.07,$99.605
06/12/2024,$100.80,9041768,$101.20,$101.69,$100.25
06/11/2024,$100.87,9134218,$102.64,$102.88,$100.74
06/10/2024,$102.74,7633073,$101.25,$102.845,$100.635
06/07/2024,$101.54,6047828,$100.86,$102.27,$100.552
06/06/2024,$101.21,10294710,$101.05,$101.93,$100.8101
06/05/2024,$101.50,10796880,$103.00,$103.08,$101.0299
06/04/2024,$103.33,7269109,$102.105,$103.49,$101.63
06/03/2024,$102.77,6908604,$104.17,$104.22,$102.48
05/31/2024,$103.91,14735790,$101.52,$104.08,$101.41
05/30/2024,$101.70,7303708,$101.135,$102.07,$100.97
05/29/2024,$100.88,7376258,$101.76,$102.08,$100.77
05/28/2024,$102.44,7813094,$101.36,$102.8599,$100.945
05/24/2024,$101.76,6451579,$100.85,$102.09,$100.69
05/23/2024,$100.66,10503990,$102.98,$103.01,$100.27
05/22/2024,$103.02,7190343,$102.98,$103.83,$102.745
05/21/2024,$103.01,7333306,$102.99,$103.6999,$102.72
05/20/2024,$102.90,7667435,$103.33,$103.67,$102.52
05/17/2024,$103.25,7355999,$103.63,$103.82,$103.04
05/16/2024,$103.37,9476686,$103.04,$104.03,$102.84
05/15/2024,$102.77,20745620,$105.62,$105.88,$101.39
05/14/2024,$105.35,11278420,$105.30,$105.99,$104.95
05/13/2024,$105.83,9666409,$105.59,$106.6408,$105.59
05/10/2024,$105.79,15884570,$106.92,$107.02,$105.42
05/09/2024,$105.80,15095970,$104.62,$106.13,$104.39
05/08/2024,$105.44,15238110,$104.90,$106.48,$104.44
05/07/2024,$105.39,55084620,$107.25,$107.88,$104.21
05/06/2024,$116.47,16303230,$114.80,$116.94,$114.15
05/03/2024,$113.66,7411112,$113.54,$114.11,$112.7996
05/02/2024,$112.62,6799805,$111.43,$112.87,$110.56
05/01/2024,$110.48,6346109,$111.29,$111.99,$110.21
04/30/2024,$111.10,8156575,$112.00,$112.04,$110.80
04/29/2024,$112.08,7169209,$113.04,$113.88,$110.34
04/26/2024,$112.73,6304843,$111.85,$113.0218,$111.32
04/25/2024,$112.77,8045906,$111.22,$112.89,$110.39
04/24/2024,$113.92,6157230,$113.14,$114.18,$113.14
04/23/2024,$113.71,6839318,$112.83,$114.24,$112.80
04/22/2024,$111.99,6901689,$113.10,$113.64,$111.75
04/19/2024,$112.61,9436023,$111.72,$112.715,$111.08
04/18/2024,$112.43,8235636,$113.18,$114.25,$112.19
04/17/2024,$112.94,7378993,$114.00,$114.21,$112.89
04/16/2024,$113.88,9291419,$112.82,$114.50,$112.52
04/15/2024,$112.95,9637095,$114.875,$115.55,$112.77
04/12/2024,$114.01,12155170,$116.39,$116.70,$113.73
04/11/2024,$117.15,6559411,$117.59,$118.28,$116.37
04/10/2024,$117.19,6746282,$116.60,$117.56,$116.37
04/09/2024,$117.97,7455367,$117.38,$118.51,$116.89
04/08/2024,$117.35,6266011,$118.02,$118.52,$116.82
04/05/2024,$118.38,9653915,$116.60,$118.86,$116.30
04/04/2024,$117.09,13815400,$119.22,$120.19,$116.96
04/03/2024,$118.98,22480440,$122.27,$123.6902,$118.38
04/02/2024,$122.82,15517070,$120.22,$123.53,$120.16
04/01/2024,$121.53,8419727,$122.06,$122.3999,$120.78
03/28/2024,$122.36,15367420,$121.25,$123.74,$121.20
03/27/2024,$120.98,10782840,$120.955,$122.0262,$120.0201
03/26/2024,$119.93,11870040,$119.63,$120.40,$118.19
03/25/2024,$119.36,12103550,$116.97,$119.41,$116.87
03/22/2024,$115.87,7144785,$116.92,$117.66,$115.84
03/21/2024,$116.70,10353550,$116.99,$117.36,$115.86
03/20/2024,$116.46,11699650,$114.61,$116.51,$114.36
03/19/2024,$114.51,10999740,$113.41,$115.17,$113.2431
03/18/2024,$113.85,11820760,$112.29,$114.43,$112.29
03/15/2024,$111.95,15364180,$111.60,$112.96,$111.40
03/14/2024,$112.06,10520460,$111.74,$112.35,$109.51
03/13/2024,$112.50,7267902,$112.74,$114.13,$112.435
03/12/2024,$112.46,8084958,$112.515,$112.95,$111.64
03/11/2024,$112.31,8794307,$110.09,$112.91,$110.03
03/08/2024,$110.32,10009190,$110.18,$111.31,$109.34
03/07/2024,$110.18,8609290,$110.70,$111.08,$109.20
03/06/2024,$110.06,14743880,$113.08,$113.30,$109.25
03/05/2024,$112.87,14929580,$113.61,$115.19,$112.27
03/04/2024,$113.69,11558850,$112.67,$114.13,$111.80
03/01/2024,$111.95,7242396,$111.44,$112.145,$111.03
02/29/2024,$111.58,11658290,$111.14,$112.75,$110.97
02/28/2024,$110.80,10773050,$108.78,$111.04,$108.661
02/27/2024,$109.42,7594956,$107.78,$109.58,$107.78
02/26/2024,$107.68,8694150,$107.52,$108.76,$107.38
02/23/2024,$107.74,11723950,$107.57,$108.00,$105.83
02/22/2024,$107.64,9266195,$107.99,$108.49,$107.405
02/21/2024,$107.67,10454430,$108.48,$109.22,$107.235
02/20/2024,$109.44,9770911,$110.85,$111.128,$109.35
